pID	At_gID	Si_gID	Sp_gID	Es_gID	At	Si	Sp	Es
P000013	AT1G01180.1	Si_s2233_00200.a	NA	NA	0.055326919397304	0.348691295179371	NA	NA
P000018	AT1G01240.1	Si_s2233_00250.a	NA	NA	1.32833249896944	0.330681480064603	NA	NA
P000019	AT1G01250.1	Si_s2233_00260.a	NA	NA	3.55844925375942	-0.752706210478279	NA	NA
P000022	AT1G01300.1	Si_s2233_00300.m	NA	NA	-0.616282154676288	-0.236411640062594	NA	NA
P000024	AT1G01320.1	Si_s2233_00330.m	NA	NA	-0.569541905043106	-0.526995955112629	NA	NA
P000032	AT1G01420.2	Si_s2233_00400.m	NA	NA	0.28778185867624	0.976849690709401	NA	NA
P000033	AT1G01430.1	Si_s2233_00410.m	NA	NA	-0.285642239724085	0.64648455158428	NA	NA
P000038	AT1G01470.1	Si_s2233_00460.m	NA	NA	2.96177436101522	2.75318251273712	NA	NA
P000043	AT1G01520.1	Si_s2233_00510.m	NA	NA	2.18730248378697	-0.232724945373395	NA	NA
P000047	AT1G01570.2	Si_s2851_00710.m	NA	NA	1.07698736454576	4.93978407227214	NA	NA
P000048	AT1G01580.2	Si_s2851_00700.m	NA	NA	-0.609720746449024	-0.229456161535993	NA	NA
P000050	AT1G01600.1	Si_s2851_00670.m	NA	NA	0.440526641491322	0.978898415538379	NA	NA
P000051	AT1G01610.1	Si_s2851_00660.m	NA	NA	0.409142688850724	0.366273890829977	NA	NA
P000053	AT1G01630.1	Si_s2851_00640.m	NA	NA	0.236641013852878	-0.254943859410846	NA	NA
P000055	AT1G01650.1	Si_s2851_00620.s	NA	NA	0.864355137403172	0.766273482907434	NA	NA
P000062	AT1G01710.1	Si_s2851_00540.m	NA	NA	0.523474637570455	0.209576008820535	NA	NA
P000064	AT1G01720.1	Si_s2851_00520.a	NA	NA	1.13555760437855	-0.049516539315835	NA	NA
P000066	AT1G01730.1	Si_s2851_00500.a	NA	NA	-0.0206455842262402	0.0511490091369771	NA	NA
P000074	AT1G01830.1	Si_s2851_00380.a	NA	NA	0.917476306489598	-0.70502229796193	NA	NA
P000078	AT1G01920.1	Si_s2851_00320.m	NA	NA	-0.26184613124317	-0.0399126706852023	NA	NA
P000095	AT1G02110.1	Si_s1717_00360.m	NA	NA	-0.332121411857784	-0.383725029891734	NA	NA
P000099	AT1G02150.1	Si_s2851_00080.m	NA	NA	-0.276243744821119	-0.207430835734127	NA	NA
P000101	AT1G02170.1	Si_s2851_00060.s	NA	NA	0.229422465640442	0.286255297022712	NA	NA
P000111	AT1G02305.1	Si_c230355_00050.m	NA	NA	0.75270266402736	0.587350598717281	NA	NA
P000116	AT1G02370.1	Si_s2380_00790.m	NA	NA	-1.15826681491376	-0.460267937750796	NA	NA
P000118	AT1G02390.1	Si_s2380_00770.m	NA	NA	3.7473452790826	0.882638793788419	NA	NA
